Movie Name,Ratings
 Ramayana: The Legend of Prince Rama (1993),8.5
Rocketry: The Nambi Effect (2022),8.4
Hanky Panky (1979),8.4
Nayakan (1987),8.4
777 Charlie (2022),8.4
 Anbe Sivam (2003),8.4
Jai Bhim (2021),8.4
 Pariyerum Perumal (2018),8.4
3 Idiots (2009),8.4
 Manichithrathazhu (1993),8.4
The World of Apu (1959),8.4
 #Home (2021),8.3
 Black Friday (2004),8.3
 Soorarai Pottru (2020),8.3
Kumbalangi Nights (2019),8.3
Like Stars on Earth (2007),8.3
C/o Kancharapalem (2018),8.3
Kireedam (1989),8.3
Dangal (2016),8.3
Kaithi (2019),8.3
Jersey (2019),8.3
 Mayabazar (1957),8.3
96 (2018),8.3
Natsamrat (2016),8.2
 Asuran (2019),8.2
26. Thevar Magan (1992),8.2
 Drishyam 2 (2021),8.2
Visaaranai (2015),8.2
Sita Ramam (2022),8.2
Thalapathi (1991),8.2
Sarpatta Parambarai (2021),8.2
Pather Panchali (1955),8.2
 Nadodikattu (1987),8.2
Jaane Bhi Do Yaaro (1983),8.2
Thani Oruvan (2015),8.2
Drishyam (2013),8.2
Sardar Udham (2021),8.2
Aparajito (1956),8.2
Vada Chennai (2018),8.2
Khosla Ka Ghosla! (2006),8.2
Raatchasan (2018),8.1
Anniyan (2005),8.1
 Chupke Chupke (1975),8.1
 Peranbu (2018),8.1
 Mahanati (2018),8.1
Gangs of Wasseypur (2012),8.1
 Satya (1998),8.1
Bangalore Days (2014),8.1
 Drishyam (2015),8.1
 Premam (2015),8.1
Agent Sai Srinivasa Athreya (2019),8.1
Devasuram (1993),8.1
Super Deluxe (2019),8.1
Bhaag Milkha Bhaag (2013),8.1
Tumbbad (2018),8.1
Andhadhun (2018),8.1
Vikram Vedha (2017),8.1
Guide (1965),8.1
Chithram (1988),8.1
Kannathil Muthamittal (2002),8.1
Drishyam 2 (2022),8.1
 Zindagi Na Milegi Dobara (2011),8.1
 Sairat (2016),8.1
Shahid (2012),8.1
Vikram (2022),8.1
 Chhichhore (2019),8.1
Aruvi (2016),8.1
Paan Singh Tomar (2012),8.1
 Iruvar (1997),8.1
Swades (2004),8.1
Thirst (1957),8.1
Munna Bhai M.B.B.S. (2003),8.1
Let's Go! India (2007),8.1
Spadikam (1995),8.1
Uri: The Surgical Strike (2019),8.1
Mudhalvan (1999),8.1
Black (2005),8.1
 Jo Jeeta Wohi Sikandar (1992),8.1
Hera Pheri (2000),8.1
Dhuruvangal Pathinaaru (2016),8.1
 Lagaan: Once Upon a Time in India (2001),8.1
Papanasam (2015),8.1
Pudhu Pettai (2006),8.1
PK (2014),8
 Queen (2013),8
Article 15 (2019),8
Talvar (2015),8
Mandela (2021),8
Soodhu Kavvum (2013),8
OMG: Oh My God! (2012),8
 Sarfarosh (1999),8
Sholay (1975),8
Udaan (2010),8
 Barfi! (2012),8
Kantara (2022),8
The Legend of Bhagat Singh (2002),8
Jigarthanda (2014),8
